"","scientific_name"
"1","Siganus sutor"
"2","Plectorhinchus sordidus"
"3","Leptoscarus vaigiensis"
"4","Acanthurus dussumieri"
"5","Lethrinus lentjan"
"6","Scarus ghobban"
"7","Lethrinus nebulosus"
"8","Hipposcarus harid"
"9","Scarus rubroviolaceus"
"10","Siganus canaliculatus"
"11","Lethrinus harak"
"12","Epinephelus melanostigma"
"13","Lutjanus fulviflamma"
"14","Mulloidichthys flavolineatus"
"15","Plectorhinchus vittatus"
"16","Acanthurus xanthopterus"
"17","Octopus cyanea"
"18","Gymnothorax griseus"
"19","Epinephelus fasciatus"
"20","Cephalopholis argus"
"21","Carangoides ferdau"
"22","Kyphosus vaigiensis"
"23","Heniochus monoceros"
"24","Parupeneus macronemus"
"25","Gymnothorax favagineus"
"26","Naso hexacanthus"
"27","Strophidon sathete"
"28","Siganus guttatus"
"29","Lutjanus argentimaculatus"
"30","Pomatomus saltatrix"
"31","Plectorhinchus gaterinus"
"32","Lethrinus conchyliatus"
"33","Epinephelus coioides"
"34","Heniochus acuminatus"
"35","Lethrinus mahsena"
"36","Cheilinus chlorourus"
"37","Novaculichthys taeniourus"
"38","Gymnothorax flavimarginatus"
"39","Lutjanus johnii"
"40","Acanthurus triostegus"
"41","Lutjanus gibbus"
"42","Abudefduf sexfasciatus"
"43","Epinephelus spilotoceps"
"44","NANA"
"45","Naso brachycentron"
"46","Gomphosus caeruleus"
"47","Plotosus lineatus"
"48","Cheilio inermis"
"49","Lethrinus olivaceus"
"50","Lethrinus borbonicus"
"51","Epinephelus merra"
"52","Cephalopholis miniata"
"53","Parupeneus heptacanthus"
"54","Parupeneus barberinus"
"55","Siganus argenteus"
"56","Siganus stellatus"
"57","Scarus frenatus"
"58","Scarus psittacus"
"59","Parupeneus indicus"
"60","Acanthurus nigricauda"
"61","Lethrinus obsoletus"
"62","Plectorhinchus flavomaculatus"
"63","Scarus globiceps"
"64","Acanthurus tennenti"
"65","Acanthurus nigrofuscus"
"66","Scarus coeruleus"
"67","Lethrinus variegatus"
"68","Scarus russelii"
"69","Myripristis berndti"
"70","Chaetodon trifasciatus"
"71","Balistapus undulatus"
"72","Chaetodon selene"
"73","Priacanthus hamrur"
"74","Lutjanus lentjan"
"75","Epinephelus fuscoguttatus"
"76","Naso unicornis"
"77","Chaetodon kleinii"
"78","Monotaxis grandoculis"
"79","Diagramma pictum"
"80","Pomacanthus semicirculatus"
"81","Lethrinus gibbus"
"82","Upeneus tragula"
"83","Chlorurus strongylocephalus"
"84","Upeneus sulphureus"
"85","Calotomus carolinus"
"86","Lutjanus bohar"
"87","Naso annulatus"
"88","Chaetodon auriga"
"89","Chaetedon selene"
"90","Cantherhines sandwichiensis"
"91","Naso lituratus"
"92","Gymnothorax monochrous"
"93","Acanthurus leucosternon"
"94","Cephalopholis spiloparaea"
"95","Coris formosa"
"96","Variola louti"
"97","Sufflamen chrysopterum"
"98","Caesio caerulaurea"
"99","Uroteuthis duvauceli"
"100","Scarus sp."
"101","Caesio xanthonota"
"102","Hipposcarus longiceps"
"103","Cheilinus trilobatus"
"104","Sargocentron violaceum"
"105","Epinephelus sp."
"106","Gerres oyena"
"107","Sardinella melanura"
"108","Trichiurus lepturus"
