scientific_name,fishlandings_or_alternate,Maturity_length_cm,Maturity_length_min_cm,Maturity_length_max_cm,Max_length_cm,Common_length_cm,Max_age_yr,Max_weight_kg,Depth_range_m,Usual_depth_range_m,Sex_change_length_cm,Sex_change_age_yr,Notes
Acanthurus dussumieri,fishlandings,NA,NA,NA,54,35,28,NA,0-131,10-130,NA,NA,
Acanthurus triostegus,fishlandings,8.8,NA,NA,27,17,NA,NA,0-90,0-90,NA,NA,
Acanthurus xanthopterus,fishlandings,NA,NA,NA,70,50,NA,NA,0-100,5-90,NA,NA,
Cephalopholis argus,fishlandings,NA,22,NA,60,40,NA,NA,0-40,0-15,NA,NA,
Gerres oyena,fishlandings,NA,NA,NA,30,20,NA,NA,0-20,NA,NA,NA,
Hipposcarus harid,fishlandings,NA,NA,NA,75,35,NA,2.3,0-25,NA,NA,NA,No Lmat information for Hipposcarus
Leptoscarus vaigiensis,fishlandings,NA,NA,NA,35.2,NA,NA,0.657,0-15,NA,NA,NA,No Lmat information for Leptoscarus
Lethrinus conchyliatus,fishlandings,NA,NA,NA,76,50,NA,NA,0-220,NA,NA,NA,
Lethrinus harak,fishlandings,19.5,NA,21.1,50,30,15,NA,0-20,NA,NA,NA,
Lethrinus nebulosus,fishlandings,38.8,41,NA,87,70,28,8.4,10-75,NA,NA,NA,
Lutjanus fulviflamma,fishlandings,17.1,NA,NA,35,30,23,NA,0-35,NA,NA,NA,
Monotaxis grandoculis,fishlandings,27.5,18,NA,60,40,NA,5.9,0-100,5-30,NA,NA,
Mulloidichthys flavolineatus,fishlandings,20.8,12,NA,43,25,NA,423.3,0-76,NA,NA,NA,
Naso annulatus,fishlandings,NA,NA,NA,100,NA,NA,NA,0-60,25-60,NA,NA,
Naso brachycentron,fishlandings,NA,NA,NA,90,NA,NA,NA,10-30,15-20,NA,NA,
Parupeneus heptacanthus,fishlandings,NA,NA,NA,36,25,6,NA,10-350,0-60,NA,NA,
Parupeneus macronemus,fishlandings,12.3,NA,NA,40,20,NA,NA,0-40,NA,NA,NA,
Plectorhinchus gaterinus,fishlandings,NA,NA,NA,50,35,NA,NA,0-55,NA,NA,NA,
Plectorhinchus sordidus,fishlandings,26,NA,NA,60,NA,14,NA,0-25,NA,NA,NA,
Plectorhinchus vittatus,fishlandings,NA,NA,NA,72,NA,NA,NA,0-25,NA,NA,NA,
Sardinella melanura,fishlandings,NA,NA,NA,20.3,10,NA,NA,0-50,NA,NA,NA,
Scarus ghobban,fishlandings,NA,49,NA,75,30,13,NA,0-90,NA,29,7,
Scarus rubroviolaceus,fishlandings,NA,NA,NA,70,NA,20,NA,0-36,NA,37.4,13,
Siganus canaliculatus,fishlandings,11.6,12,NA,40,20,NA,NA,0-50,NA,NA,NA,
Siganus sutor,fishlandings,NA,NA,NA,45,30,2.5,NA,0-50,0-12,NA,NA,
Trichiurus lepturus,fishlandings,50.6,30,99,234,100,15,5,0-590,100-350,NA,NA,
Cephalopholis boenak,alternate,12.2,8,NA,30,NA,11,NA,0-65,5-30,NA,NA,
Cephalopholis cruentata,alternate,16,14,NA,42.6,20,13,1.1,0-170,NA,21.5,4.5,
Cephalopholis formosa,alternate,17,NA,NA,34,NA,NA,NA,0-30,0-15,NA,NA,
Cephalopholis fulva,alternate,14.7,NA,24.5,44,NA,11,NA,0-150,0-40,20,NA,
Cephalopholis oligosticta,alternate,18,17,19,30,NA,NA,NA,15-50,15-50,NA,NA,
Cephalopholis taeniops,alternate,18,NA,NA,70,40,NA,NA,20-200,NA,NA,NA,
Gerres cinereus,alternate,20,19,NA,41,30,NA,0.53,0-15,NA,NA,NA,
Gerres filamentosus,alternate,19,NA,NA,39,15,NA,NA,0-50,NA,NA,NA,
Gerres longirostris,alternate,20.6,NA,NA,44.5,20,NA,NA,0-50,NA,NA,NA,
Gerres methueni,alternate,14,NA,NA,30,20,NA,NA,NA,NA,NA,NA,
Gerres nigri,alternate,38.8,7,NA,20,15,NA,NA,0-60,NA,NA,NA,
Lethrinus atlanticus,alternate,22.8,21,NA,50,30,NA,NA,0-50,NA,NA,NA,
Lethrinus borbonicus,alternate,21.3,NA,NA,40,25,NA,NA,0-40,NA,NA,NA,
Lethrinus enigmaticus,alternate,25,NA,NA,55,32.5,NA,NA,0-50,NA,NA,NA,
Lethrinus lentjan,alternate,27.7,18,NA,52,40,19,NA,10-90,NA,30.8,NA,
Lethrinus microdon,alternate,29.1,NA,NA,80,40,NA,4.9,10-80,NA,NA,NA,
Lethrinus miniatus,alternate,36.1,NA,42.2,90,40,22,9.6,0-30,NA,NA,NA,
Lethrinus obsoletus,alternate,23.7,NA,25.7,60,30,14,NA,0-30,NA,NA,NA,
Lethrinus rubrioperculatus,alternate,23,20,26,50,30,NA,NA,10-200,NA,NA,NA,
Naso hexacanthus,alternate,45,NA,NA,75,50,NA,NA,10-150,10-137,NA,NA,
Naso tuberosus,alternate,35,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,
Plectorhinchus pictus,alternate,53.6,40,NA,83,NA,NA,6.9,20-200,NA,NA,NA,
Sardinella albella,alternate,9,NA,NA,14,10,NA,NA,0-50,NA,NA,NA,
Sardinella aurita,alternate,18.8,13,25,41,25,7,0.42,0-350,NA,NA,NA,
Sardinella brasiliensis,alternate,19.2,NA,NA,27,20,NA,NA,0-60,NA,NA,NA,
Sardinella fimbriata,alternate,13.3,11,NA,19,11,NA,NA,0-50,NA,NA,NA,
Sardinella gibbosa,alternate,12.8,11,NA,29.6,15,7,NA,10-70,NA,NA,NA,
Sardinella lemuru,alternate,14.3,14,15,23,20,NA,NA,15-100,NA,NA,NA,
Sardinella longiceps,alternate,16.3,NA,NA,23,20,3,0.2,20-200,NA,NA,NA,
