"","Operation_date","enumerator","landing_site","BMU","survey_id","fisher_id","household_id","trap_type","date_set_dd_mm_yyyy","date_collected_dd_mm_yyyy","total_biomass_kg","take_home_weight_kg","total_value_KES","take_home_value_KES","No. of fishers in crew","date_time_set","date_time_collected","keep_date","duplicate_surveyid","multiple_fishermen","date_id","Kiswahili_name","scientific_name","length_cm","gear type","number_of_fish","destination","length_calc","length_corrected","keep_traptype"
"1",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","PONO CHANI","Leptoscarus vaigiensis","11-15","SPEARGUN",4,"FISH DEALER",NA,"11-15",TRUE
"2",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","PONO CHANI","Leptoscarus vaigiensis","16-20","SPEARGUN",2,"FISH DEALER",NA,"16-20",TRUE
"3",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","TOGOO","Acanthurus triostegus","11-15","SPEARGUN",4,"HOME",NA,"11-15",TRUE
"4",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","TEMBO","Lutjanus fulviflamma","16-20","SPEARGUN",6,"FISH DEALER",NA,"16-20",TRUE
"5",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","TEWA JESHI","Epinephelus melanostigma","11-15","SPEARGUN",1,"FISH DEALER",NA,"11-15",TRUE
"6",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","TEWA MOSHI","Cephalopholis argus","16-20","SPEARGUN",1,"FISH DEALER",NA,"16-20",TRUE
"7",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/092/FF","SS/KUR/SG/092/FF","SS/KUR/SG/092","SPEARGUN",2021-07-23,2021-07-23,2.5,1.3,500,60,1,2021-07-23 08:20:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/092/FF","TAFI MAENGA","Siganus stellatus","21-25","SPEARGUN",2,"FISH DEALER",NA,"21-25",TRUE
"8",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/020/FF","SS/KUR/SG/020/FF","SS/KUR/SG/020","SPEARGUN",2021-07-23,2021-07-23,2.3,0.53,460,120,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/020/FF","PONO CHANI","Leptoscarus vaigiensis","16-20","SPEARGUN",7,"FISH DEALER",NA,"16-20",TRUE
"9",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/020/FF","SS/KUR/SG/020/FF","SS/KUR/SG/020","SPEARGUN",2021-07-23,2021-07-23,2.3,0.53,460,120,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/020/FF","TEWA JESHI","Epinephelus melanostigma","16-20","SPEARGUN",2,"FISH DEALER",NA,"16-20",TRUE
"10",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/020/FF","SS/KUR/SG/020/FF","SS/KUR/SG/020","SPEARGUN",2021-07-23,2021-07-23,2.3,0.53,460,120,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/020/FF","TEMBO","Lutjanus fulviflamma","16-20","SPEARGUN",4,"FISH DEALER",NA,"16-20",TRUE
"11",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/020/FF","SS/KUR/SG/020/FF","SS/KUR/SG/020","SPEARGUN",2021-07-23,2021-07-23,2.3,0.53,460,120,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/020/FF","TOGOO","Acanthurus triostegus","11-15","SPEARGUN",4,"FISH DEALER",NA,"11-15",TRUE
"12",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/081/FF","SS/KUR/SG/081/FF","SS/KUR/SG/081","SPEARGUN",2021-07-23,2021-07-23,2.6,NA,520,80,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/081/FF","PONO CHANI","Leptoscarus vaigiensis","11-15","SPEARGUN",4,"FISH DEALER",NA,"11-15",TRUE
"13",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/081/FF","SS/KUR/SG/081/FF","SS/KUR/SG/081","SPEARGUN",2021-07-23,2021-07-23,2.6,NA,520,80,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/081/FF","PONO CHANI","Leptoscarus vaigiensis","16-20","SPEARGUN",3,"FISH DEALER",NA,"16-20",TRUE
"14",2021-07-23,"KARIMA NYINGE","BURENI","KURUWITU","2021-07-23 11:30:00 SS/KUR/SG/081/FF","SS/KUR/SG/081/FF","SS/KUR/SG/081","SPEARGUN",2021-07-23,2021-07-23,2.6,NA,520,80,1,2021-07-23 07:00:00,2021-07-23 11:30:00,TRUE,FALSE,FALSE,"2021-07-23 SS/KUR/SG/081/FF","TEMBO","Lutjanus fulviflamma","11-15","SPEARGUN",6,"FISH DEALER",NA,"11-15",TRUE
