"","survey_id","year","month","day","BMU","household_group","Total_Biomass_kg_per_fisherman","Avg_Trophic_Level","richness","total_catch_per_fisherman","Total_value_KES_per_fisherman","Mean_length_cm","Calcium_mg_per_fisherman","Iron_mg_per_fisherman","Omega3_g_per_fisherman","Protein_g_per_fisherman","VitaminA_ug_per_fisherman","Selenium_ug_per_fisherman","mean_lengthdist","Zinc_mg_per_fisherman","TakeHome_kg","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous","trap_type","total_traps_collected","household_group_collapsed","No_fishermen"
"1","2022-04-29 23:15:00 SS/KAN/CO/083/FF","2022","Apr","29","KANAMAI","Control",1.25237894286099,2.43153843523077,2,13,250.475788572199,18.7692307692308,611.270848096892,12.5958650636584,3.44793050339125,231.01051207699,313.6099374467,344.579112598862,-5.62533745,23.8473582249972,NA,66.6666666666667,0,0,0,33.3333333333333,NA,NA,"Control",1
"2","2022-04-03 12:12:00 SS/TAK/CO/154/FF","2022","Apr","03","TAKAUNGU","Social marketing",0.0721305873758243,3.49,1,8,11.5408939801319,13,29.8196082711643,0.333271013264472,0.0663250322649649,13.2005809992218,64.469448120652,28.7387121099794,-2.01896242,0.997857851501973,NA,0,0,0,0,100,NA,NA,"Social marketing",1
"3","2022-05-03 12:20:00 SS/TAK/CO/145/FF","2022","May","03","TAKAUNGU","Social marketing",1.23483337674031,3.98,1,1,0,38,349.774145470327,18.1501891267672,4.51658327466236,234.738251187058,1553.05985487314,130.402776387864,6.91014134,9.66050307405358,NA,0,0,0,0,100,NA,NA,"Social marketing",1
"4","2022-05-03 09:55:00 SS/TAK/CO/160/FF","2022","May","03","TAKAUNGU","Social marketing",1.56587629590619,2.016,2,15,243.835934742712,16.6666666666667,507.862419839158,11.1859750422075,2.84085632154517,292.717066855499,362.168595486245,560.168824317256,-5.12975284333333,21.6497433164243,NA,66.6666666666667,0,0,33.3333333333333,0,NA,NA,"Social marketing",1
"5","2022-04-03 12:48:00 SS/KAN/CO/026/FF","2022","Apr","03","KANAMAI","Control",2.24367661639789,3.09384615384615,3,13,320.312598862613,18,1686.03867264749,18.3531376979127,3.78424980517224,415.22927758814,1265.85341591473,782.64479520759,-0.643480926666667,42.7462986318677,NA,33.3333333333333,0,33.3333333333333,0,33.3333333333333,NA,NA,"Control",1
"6","2022-05-03 03:38:00 SS/KAN/CO/024/FF","2022","May","03","KANAMAI","Control",4.8886075898384,2.82666666666667,3,18,728.796466636038,21.8888888888889,3096.58201101963,37.8730684589318,7.77148892269328,910.895240871442,3817.10840369299,1616.7281428023,3.91810447333333,83.1763074343611,NA,66.6666666666667,0,0,0,33.3333333333333,NA,NA,"Control",1
"7","2022-04-22 13:00:00 SS/KAN/CO/076/FF","2022","Apr","22","KANAMAI","Control",1.85359887119744,3.920000076,1,2,296.57581939159,38,848.242171200834,14.604600113851,3.29368293007267,311.363565009206,4854.35503963872,563.262923630297,23.34992007,57.3576848035975,NA,0,0,0,0,100,NA,NA,"Control",1
"8","2022-04-22 13:00:00 SS/KAN/CO/140/FF","2022","Apr","22","KANAMAI","Control",6.55011558116588,2,1,15,1310.02311623318,33,2865.04600240099,60.9186192972402,18.0359237739257,1192.03456573137,1767.37107140342,1384.57743503894,7.2564563,111.719617561797,NA,100,0,0,0,0,NA,NA,"Control",1
"9","2022-04-22 13:00:00 SS/KAN/CO/078/FF","2022","Apr","22","KANAMAI","Control",3.4646811776178,2.715,2,8,692.936235523561,30.5,1830.95604455526,37.7412166623475,9.34494939345501,647.911875687569,798.90224786722,1226.70671994813,5.72582344,78.5041305832214,NA,50,0,0,0,50,NA,NA,"Control",1
"10","2022-04-19 13:48:00 SS/KAN/CO/140/FF","2022","Apr","19","KANAMAI","Control",3.9127589409901,2,1,14,782.551788198019,28,1711.45596185755,36.3901780624185,10.7738895796526,712.07047375559,1055.75189872453,827.087350033826,2.2564563,66.7365219868547,NA,100,0,0,0,0,NA,NA,"Control",1
"11","2022-04-17 07:22:00 SS/KAN/CO/140/FF","2022","Apr","17","KANAMAI","Control",6.14107376706546,2.36,2,12,1180.5535538099,33.8333333333333,2453.93791815438,49.1921935303825,14.9691657263418,1118.51629594012,3925.14136912103,1843.35808211572,10.2218531033333,90.2937935656216,NA,66.6666666666667,0,0,0,33.3333333333333,NA,NA,"Control",1
"12","2022-04-17 07:22:00 SS/KAN/CO/133/FF","2022","Apr","17","KANAMAI","Control",2.3990696414671,2,1,6,479.813928293419,31.3333333333333,1049.36238156326,22.3122795842462,6.60590437613897,436.599003908953,647.323887658242,507.120469784301,7.2564563,40.9188417406698,NA,100,0,0,0,0,NA,NA,"Control",1
"13","2022-04-15 14:20:00 SS/KAN/CO/073/FF","2022","Apr","15","KANAMAI","Control",4.06160472283745,3.82842105263158,2,19,808.118826212612,22.7368421052632,2390.73579490208,21.863046119295,12.1478488430672,716.609120053317,5552.05555768379,2880.49028913514,2.039476535,30.303416016616,NA,0,0,0,0,100,NA,NA,"Control",1
"14","2022-04-15 06:02:00 SS/KAN/CO/133/FF","2022","Apr","15","KANAMAI","Control",2.62004623246635,2,1,6,524.00924649327,33,1146.01840096039,24.3674477188961,7.21436950957026,476.813826292547,706.948428561368,553.830974015577,7.2564563,44.6878470247188,NA,100,0,0,0,0,NA,NA,"Control",1
"15","2022-04-08 14:06:00 SS/KAN/CO/078/FF","2022","Apr","08","KANAMAI","Control",4.59907311833806,3.71,3,19,806.91586920268,22.7368421052632,1551.17758946456,16.9854638366065,7.45099420437706,837.37809251142,8798.06621738294,2909.44452972359,6.031323425,26.7746261550371,NA,0,0,0,0,100,NA,NA,"Control",1
"16","2022-04-07 13:30:00 SS/KAN/CO/078/FF","2022","Apr","07","KANAMAI","Control",7.78484136888997,3.7516,3,27,1461.64587457161,21.7037037037037,3848.84853572094,41.232560392966,14.9126791947494,1417.12698984557,13396.8380462243,4278.37618147105,10.63320858,56.3247118493468,NA,0,0,0,0,100,NA,NA,"Control",1
"17","2022-04-06 13:00:00 SS/KAN/CO/078/FF","2022","Apr","06","KANAMAI","Control",5.69530932192967,3.12454545454545,3,11,1041.47917881985,32.5454545454545,3334.16778894015,63.2215821546764,12.6976530654867,1085.25564198191,1468.43458170001,2685.03387459761,13.83721084,142.9907881746,NA,33.3333333333333,0,0,0,66.6666666666667,NA,NA,"Control",1
"18","2022-04-19 09:50:00 SS/KUR/SG/029/FF","2022","Apr","19","KURUWITU","Social marketing",0.819704049809343,2.65,2,6,98.3644859771212,14.6666666666667,629.048628086072,7.43494705714225,0.891765492167218,154.056571856255,204.133681948417,168.659451748631,0.0716254299999992,19.4176543865028,0.553502897855018,50,0,50,0,0,NA,NA,"Social marketing",1
"19","2022-04-20 11:50:00 SS/KUR/SG/086/FF","2022","Apr","20","KURUWITU","Social marketing",0.379059145487142,2,1,3,45.4870974584571,18,160.463783028059,2.88026210048807,0.238133586371765,69.438366152063,81.6323978894228,79.9417239746083,-3.20195955,9.13516125846776,NA,0,0,100,0,0,NA,NA,"Social marketing",1
"20","2022-04-26 13:00:00 SS/KUR/SG/020/FF","2022","Apr","26","KURUWITU","Social marketing",1.6121633026745,2.84454545454545,3,14,251.634365969399,18.3571428571429,848.872025717385,9.86752400929498,3.35108857490585,273.309603227647,1343.15304415371,868.561096666635,-5.41276309333333,16.960780472047,NA,50,0,0,0,50,NA,NA,"Social marketing",1
"21","2022-04-06 11:00:00 SS/KUR/SG/029/FF","2022","Apr","06","KURUWITU","Social marketing",1.41737690986048,2.78692307692308,3,13,195.62093163069,13.5384615384615,672.708678211029,10.1585566582551,1.68312120686394,257.670261366949,667.658044601052,458.061814693937,-3.31014759333333,28.8483254436365,NA,33.3333333333333,0,33.3333333333333,0,33.3333333333333,NA,NA,"Social marketing",1
"22","2022-04-07 23:50:00 SS/TAK/CO/174/FF","2022","Apr","07","TAKAUNGU","Social marketing",3.46339119345541,2,2,20,572.117300854253,21.5,2213.97796857527,33.4050867875357,7.18965432069348,635.305873143339,942.523728659371,683.043608311702,4.082154945,75.682287680737,NA,100,0,0,0,0,NA,NA,"Social marketing",1
