"","survey_id","Operation_date","year","month","day","enumerator","landing_site","BMU","fisher_id","household_id","destination","trap_type","fish_perdestination","biomass_perdestination","KSH_perdestination","calculated_Kg_perdestination","Zinc_perdestination","Selenium_perdestination","VitaminA_perdestination","Protein_perdestination","Omega3_perdestination","Iron_perdestination","Calcium_perdestination"
"1","2021-05-18 SS/UYO/SB/091/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/091/FF","SS/UYO/SB/091","HOME","Control",8,3.33333333333333,400,7.71240070839718,72.3392192666667,725.475854666667,700.410566666667,620.968113666667,3.43716763333333,24.8374339,1510.33214233333
"2","2021-05-18 SS/UYO/SB/085/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085","HOME","Control",40,5.85365853658537,1170.73170731707,2.08686924607133,99.8407562341463,1237.358856,1579.45102360976,1065.2885777561,16.1182101073171,54.4412982439024,2560.41298536585
"3","2021-05-18 SS/UYO/SB/089/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/089/FF","SS/UYO/SB/089","HOME","Control",10,2.42424242424242,484.848484848485,0.575274431650851,40.081790230303,643.288661333333,303.854722909091,455.429115636364,7.48359258181818,33.0124464,1994.76771466667
"4","2021-05-18 SS/UYO/SB/090/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/090/FF","SS/UYO/SB/090","HOME","Control",64,7.04878048780488,1409.75609756098,2.86202145178271,120.224910631951,1489.9862891,1901.92227426341,1282.78499571463,19.409011337561,65.5563966353659,3083.16396987805
"5","2021-05-18 SS/UYO/SB/092/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/092/FF","SS/UYO/SB/092","HOME","Control",20,3.325,665,2.35695884264459,56.71162955675,702.8456085175,897.16108664,605.1061056775,9.155479137,30.92379159625,1454.367917625
"6","2021-05-18 SS/UYO/SB/085/FF 2021-05-19 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085","HOME","Control",40,3.65853658536585,731.707317073171,2.08686924607133,62.4004726463415,773.349285,987.156889756098,665.805361097561,10.0738813170732,34.025811402439,1600.25811585366
"7","2021-05-18 SS/UYO/SB/094/FF 2021-05-19 14:30:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/094/FF","SS/UYO/SB/094","HOME","Control",9,0.833333333333333,100,2.94886618573939,19.9695529277778,180.760041675926,183.858285555556,150.706687768519,1.15183700092593,6.988846475,317.596445861111
"8","2021-05-18 SS/UYO/SB/094/FF 2021-05-18 13:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/094/FF","SS/UYO/SB/094","HOME","Control",9,0.4,48,2.94886618573939,9.58538540533333,86.7648200044444,88.2519770666667,72.3392101288889,0.552881760444444,3.354646308,152.446294013333
"9","2021-05-18 SS/UYO/SB/100/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/100/FF","SS/UYO/SB/100","HOME","Control",4,1.6,192,2.40719262684866,34.722825248,348.22841024,336.197072,298.06469456,1.649840464,11.921968272,724.95942832
"10","2021-05-18 SS/UYO/SB/099/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/099/FF","SS/UYO/SB/099","HOME","Control",64,7.04878048780488,1409.75609756098,2.86202145178271,120.224910631951,1489.9862891,1901.92227426341,1282.78499571463,19.409011337561,65.5563966353659,3083.16396987805
