"","survey_id","Operation_date","year","month","day","enumerator","landing_site","BMU","fisher_id","household_id","destination","trap_type","fish_perdestination","biomass_perdestination","KSH_perdestination","calculated_Kg_perdestination","Zinc_perdestination","Selenium_perdestination","VitaminA_perdestination","Protein_perdestination","Omega3_perdestination","Iron_perdestination","Calcium_perdestination"
"1","2021-05-18 SS/UYO/SB/085/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085","MAMA KARANGA","Control",98,7.60975609756098,1381.46341463415,9.07837718760305,139.039477842927,1719.09075320976,1986.9468598439,1382.87133214634,18.6142291502439,69.7170033043902,3237.56496875122
"2","2021-05-18 SS/UYO/SB/089/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/089/FF","SS/UYO/SB/089","MAMA KARANGA","Control",11,2.66666666666667,320,4.7611464820137,68.7275245333333,576.873293066667,610.760962133333,470.6509288,4.43479384,24.359798,862.742957066667
"3","2021-05-18 SS/UYO/SB/085/FF 2021-05-19 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085","MAMA KARANGA","Control",98,4.75609756097561,863.414634146341,9.07837718760305,86.8996736518293,1074.4317207561,1241.84178740244,864.294582591463,11.6338932189024,43.5731270652439,2023.47810546951
"4","2021-05-18 SS/UYO/SB/100/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/100/FF","SS/UYO/SB/100","MAMA KARANGA","Control",1,0.4,80,0.084177101523021,6.822451676,84.55285516,107.92915328,72.79471948,1.101411024,3.72015538,174.961554
"5","2021-05-18 SS/MAY/SB/001/FF 2021-05-18 12:30:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/001/FF","SS/MAY/SB/001","MAMA KARANGA","Control",3,1.65,198,2.32644839701992,33.0604664115,395.062153695,225.14366028,312.88712565,1.40436714,13.062053862,513.07339908
"6","2021-05-18 SS/MAY/SB/018/FF 2021-05-18 13:03:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/018/FF","SS/MAY/SB/018","MAMA KARANGA","Control",13,4.51020408163265,818.775510204082,4.34966931490526,102.799735936939,2104.59578465918,878.688797065306,865.826239510204,9.45335240204082,41.0366006363265,1642.60169459592
"7","2021-05-18 SS/MAY/SB/049/FF 2021-05-18 13:03:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/049/FF","SS/MAY/SB/049","MAMA KARANGA","Control",2,2,240,1.55096559801328,40.07329262,478.8632166,272.9014064,379.257122,1.7022632,15.83279256,621.9071504
"8","2021-05-18 SS/MAY/SB/033/FF 2021-05-18 12:35:00",2021-05-18,"2021","May","18","KADZO BAYA","MAWE YA KATI","MAYUNGU","SS/MAY/SB/033/FF","SS/MAY/SB/033","MAMA KARANGA","Control",8,5.51724137931035,662.068965517241,6.20386239205313,110.547014124138,1321.00197682759,752.831465931035,1046.22654344828,4.69589848275862,43.6766691310345,1715.60593213793
"9","2021-05-18 SS/MAY/SB/032/FF 2021-05-18 12:30:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/032/FF","SS/MAY/SB/032","MAMA KARANGA","Control",12,7.82608695652174,1304.34782608696,3.05452099117232,173.16512553913,3222.18466891304,1414.29841715217,1497.94864728261,14.049006723913,68.970603776087,2749.53642130435
"10","2021-05-18 SS/MAY/SB/006/FF 2021-05-18 22:50:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/006/FF","SS/MAY/SB/006","MAMA KARANGA","Control",3,1.04347826086957,125.217391304348,2.32644839701992,20.9078048452174,249.841678226087,142.383342469565,197.873281043478,0.88813732173913,8.2605874226087,324.47329586087
"11","2021-05-18 SS/MAY/SB/041/FF 2021-05-18 17:30:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/041/FF","SS/MAY/SB/041","MAMA KARANGA","Control",5,0.74468085106383,89.3617021276596,5.19456760241077,14.9209068265957,178.300133840426,101.612225787234,141.212758191489,0.633821404255319,5.89518871914894,231.561173021277
