"","survey_id","trap_type","BMU","Diet_percent_Herbivorous_Detritivorous","Diet_percent_Herbivorous_Macroalgal","Diet_percent_Omnivorous","Diet_percent_Planktivorous","Diet_percent_Carnivorous"
"1","2021-05-18 11:57:00 SS/MAY/SB/082/FF","Control","MAYUNGU",50,0,16.6666666666667,0,33.3333333333333
"2","2021-05-18 12:03:00 SS/MAY/SB/043/FF","Control","MAYUNGU",40,0,20,0,40
"3","2021-05-18 12:06:00 SS/MAY/SB/047/FF","Control","MAYUNGU",42.8571428571429,0,14.2857142857143,0,42.8571428571429
"4","2021-05-18 12:07:00 SS/MAY/SB/036/FF","Control","MAYUNGU",37.5,0,12.5,0,50
"5","2021-05-18 12:30:00 SS/MAY/SB/002/FF","Control","MAYUNGU",75,0,0,0,25
"6","2021-05-18 12:35:00 SS/MAY/SB/033/FF","Control","MAYUNGU",28.5714285714286,0,14.2857142857143,0,57.1428571428571
"7","2021-05-18 12:45:00 SS/MAY/SB/013/FF","Control","MAYUNGU",44.4444444444444,0,0,0,55.5555555555556
"8","2021-05-18 12:45:00 SS/MAY/SB/030/FF","Control","MAYUNGU",40,0,0,0,60
"9","2021-05-18 12:45:00 SS/MAY/SB/077/FF","Control","MAYUNGU",50,0,0,0,50
"10","2021-05-18 13:00:00 SS/UYO/SB/094/FF","Control","UYOMBO",62.5,0,12.5,0,25
"11","2021-05-18 13:00:00 SS/UYO/SB/095/FF","Control","UYOMBO",0,0,0,0,100
"12","2021-05-18 14:00:00 SS/UYO/SB/085/FF","Control","UYOMBO",36.3636363636364,0,45.4545454545455,0,18.1818181818182
"13","2021-05-18 14:00:00 SS/UYO/SB/090/FF","Control","UYOMBO",100,0,0,0,0
"14","2021-05-18 14:00:00 SS/UYO/SB/091/FF","Control","UYOMBO",66.6666666666667,0,0,0,33.3333333333333
"15","2021-05-18 14:00:00 SS/UYO/SB/092/FF","Control","UYOMBO",100,0,0,0,0
"16","2021-05-18 14:00:00 SS/UYO/SB/100/FF","Control","UYOMBO",60,0,0,0,40
"17","2021-05-18 15:00:00 SS/UYO/SB/088/FF","Control","UYOMBO",50,0,0,0,50
"18","2021-05-18 17:15:00 SS/MAY/SB/041/FF","Control","MAYUNGU",50,0,16.6666666666667,0,33.3333333333333
"19","2021-05-18 17:30:00 SS/MAY/SB/041/FF","Control","MAYUNGU",50,0,16.6666666666667,0,33.3333333333333
