"","trap_type","survey_id","N","median_length","sd","se","ci"
"1","Control","2021-05-18 11:57:00 SS/MAY/SB/082/FF",21,32.0476190476191,8.74914961854117,1.90922097111709,3.98256515850369
"2","Control","2021-05-18 12:03:00 SS/MAY/SB/043/FF",43,31.6046511627907,3.33194877114138,0.508117424020539,1.02542247629909
"3","Control","2021-05-18 12:06:00 SS/MAY/SB/047/FF",29,26.6206896551724,8.22632444005848,1.52759009885081,3.12912646822169
"4","Control","2021-05-18 12:07:00 SS/MAY/SB/036/FF",27,24.8518518518519,9.31790544185558,1.7932317383796,3.686040628548
"5","Control","2021-05-18 12:30:00 SS/MAY/SB/002/FF",14,31.2142857142857,2.48622579049423,0.664471792442188,1.43550403349575
"6","Control","2021-05-18 12:35:00 SS/MAY/SB/033/FF",28,29.7857142857143,5.80776710364308,1.09756481634439,2.2520169839905
"7","Control","2021-05-18 12:45:00 SS/MAY/SB/013/FF",38,28.2631578947368,4.18287506533883,0.678551937511696,1.37487682156
"8","Control","2021-05-18 12:45:00 SS/MAY/SB/030/FF",15,29.3333333333333,4.80575052361627,1.24083944959956,2.66133593334439
"9","Control","2021-05-18 12:45:00 SS/MAY/SB/077/FF",23,27.5652173913043,3.66588804764488,0.764390498253507,1.58524886768969
"10","Control","2021-05-18 13:00:00 SS/UYO/SB/094/FF",54,19.7592592592593,5.67661600359502,0.772489593029158,1.54941790764296
"11","Control","2021-05-18 13:00:00 SS/UYO/SB/095/FF",16,23.3125,1.25,0.3125,0.66607798298743
"12","Control","2021-05-18 14:00:00 SS/UYO/SB/085/FF",50,24.4,6.39195923462774,0.90395954397465,1.8165747149381
"13","Control","2021-05-18 14:00:00 SS/UYO/SB/090/FF",40,24,4.96138938356834,0.784464540552736,1.58672930326683
"14","Control","2021-05-18 14:00:00 SS/UYO/SB/091/FF",23,29.304347826087,3.44350221575091,0.71801984682154,1.48908202254377
"15","Control","2021-05-18 14:00:00 SS/UYO/SB/092/FF",32,20.8125,2.52008064387093,0.445491528104523,0.908585961824858
"16","Control","2021-05-18 14:00:00 SS/UYO/SB/100/FF",9,25.7777777777778,2.63523138347365,0.878410461157883,2.02561815583668
"17","Control","2021-05-18 15:00:00 SS/UYO/SB/088/FF",15,18,0,0,0
"18","Control","2021-05-18 17:15:00 SS/MAY/SB/041/FF",47,28.2127659574468,5.6103017442402,0.81834661622422,1.64724630218834
"19","Control","2021-05-18 17:30:00 SS/MAY/SB/041/FF",47,28.2127659574468,5.6103017442402,0.81834661622422,1.64724630218834
"20","Control","2021-05-18 18:45:00 SS/MAY/SB/003/FF",25,29.2,2.17944947177034,0.435889894354067,0.899632525985552
"21","Control","2021-05-18 22:50:00 SS/MAY/SB/006/FF",23,29.7391304347826,4.42325868464691,0.922313192852019,1.91276049082837
"22","Control","2021-05-18 23:25:00 SS/MAY/SB/011/FF",9,25.7777777777778,3.63241578628389,1.21080526209463,2.79212194131718
"23","Control","2021-05-18 23:45:00 SS/MAY/SB/074/FF",54,29.3888888888889,3.81366295800149,0.51897379433649,1.04092960966533
