"","survey_id","BMU","trap_type","scientific_name","median_length"
"1","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"2","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"3","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"4","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"5","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"6","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"7","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"8","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"9","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"10","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"11","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"12","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"13","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"14","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Siganus sutor",28
"15","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Plectorhinchus sordidus",18
"16","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"17","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"18","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"19","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"20","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"21","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"22","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"23","2021-05-18 14:00:00 SS/UYO/SB/091/FF","UYOMBO","Control","Acanthurus dussumieri",33
"24","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"25","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"26","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"27","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"28","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"29","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"30","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"31","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"32","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"33","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"34","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",28
"35","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Lethrinus lentjan",28
"36","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Scarus ghobban",33
"37","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Scarus ghobban",33
"38","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Scarus ghobban",33
"39","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Scarus ghobban",18
"40","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Scarus ghobban",18
"41","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"42","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"43","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"44","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"45","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"46","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Leptoscarus vaigiensis",28
"47","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"48","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"49","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"50","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"51","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"52","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"53","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
"54","2021-05-18 14:00:00 SS/UYO/SB/085/FF","UYOMBO","Control","Siganus sutor",13
