"","survey_id","Operation_date","year","month","day","enumerator","landing_site","BMU","fisher_id","household_id"
"1","2021-05-18 SS/UYO/SB/091/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/091/FF","SS/UYO/SB/091"
"2","2021-05-18 SS/UYO/SB/085/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085"
"3","2021-05-18 SS/UYO/SB/089/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/089/FF","SS/UYO/SB/089"
"4","2021-05-18 SS/UYO/SB/088/FF 2021-05-18 15:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/088/FF","SS/UYO/SB/088"
"5","2021-05-18 SS/UYO/SB/090/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/090/FF","SS/UYO/SB/090"
"6","2021-05-18 SS/UYO/SB/092/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/092/FF","SS/UYO/SB/092"
"7","2021-05-18 SS/UYO/SB/085/FF 2021-05-19 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/085/FF","SS/UYO/SB/085"
"8","2021-05-18 SS/UYO/SB/094/FF 2021-05-19 14:30:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/094/FF","SS/UYO/SB/094"
"9","2021-05-18 SS/UYO/SB/094/FF 2021-05-18 13:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/094/FF","SS/UYO/SB/094"
"10","2021-05-18 SS/UYO/SB/095/FF 2021-05-18 13:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/095/FF","SS/UYO/SB/095"
"11","2021-05-18 SS/UYO/SB/100/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/100/FF","SS/UYO/SB/100"
"12","2021-05-18 SS/UYO/SB/099/FF 2021-05-18 14:00:00",2021-05-18,"2021","May","18","CLAPERTON KAZUNGU","UYOMBO","UYOMBO","SS/UYO/SB/099/FF","SS/UYO/SB/099"
"13","2021-05-18 SS/MAY/SB/002/FF 2021-05-18 12:30:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/002/FF","SS/MAY/SB/002"
"14","2021-05-18 SS/MAY/SB/001/FF 2021-05-18 12:30:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/001/FF","SS/MAY/SB/001"
"15","2021-05-18 SS/MAY/SB/013/FF 2021-05-18 12:45:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/013/FF","SS/MAY/SB/013"
"16","2021-05-18 SS/MAY/SB/018/FF 2021-05-18 13:03:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/018/FF","SS/MAY/SB/018"
"17","2021-05-18 SS/MAY/SB/021/FF 2021-05-18 13:03:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/021/FF","SS/MAY/SB/021"
"18","2021-05-18 SS/MAY/SB/049/FF 2021-05-18 13:03:00",2021-05-18,"2021","May","18","KADZO BAYA","MAYUNGU","MAYUNGU","SS/MAY/SB/049/FF","SS/MAY/SB/049"
