"","survey_id","trap_type","total_traps_collected","reported_kg_trap","CPUE","reported_KES_trap"
"1","2021-05-18 SS/UYO/SB/091/FF 2021-05-18 14:00:00","Control",9,1.11111111111111,NA,222.222222222222
"2","2021-05-18 SS/UYO/SB/085/FF 2021-05-18 14:00:00","Control",8,1,10.25,150
"3","2021-05-18 SS/UYO/SB/089/FF 2021-05-18 14:00:00","Control",8,1,4.125,150
"4","2021-05-18 SS/UYO/SB/088/FF 2021-05-18 15:00:00","Control",5,0.38,3,80
"5","2021-05-18 SS/UYO/SB/090/FF 2021-05-18 14:00:00","Control",6,1.41666666666667,NA,216.666666666667
"6","2021-05-18 SS/UYO/SB/092/FF 2021-05-18 14:00:00","Control",5,0.76,6.4,152
"7","2021-05-18 SS/UYO/SB/085/FF 2021-05-19 14:00:00","Control",8,0.625,10.25,125
"8","2021-05-18 SS/UYO/SB/094/FF 2021-05-19 14:30:00","Control",7,0.714285714285714,7.71428571428571,142.857142857143
"9","2021-05-18 SS/UYO/SB/094/FF 2021-05-18 13:00:00","Control",7,0.342857142857143,7.71428571428571,61.4285714285714
"10","2021-05-18 SS/UYO/SB/095/FF 2021-05-18 13:00:00","Control",7,0.428571428571429,2.28571428571429,85.7142857142857
"11","2021-05-18 SS/UYO/SB/100/FF 2021-05-18 14:00:00","Control",8,0.5,NA,100
"12","2021-05-18 SS/UYO/SB/099/FF 2021-05-18 14:00:00","Control",6,1.41666666666667,NA,216.666666666667
"13","2021-05-18 SS/MAY/SB/002/FF 2021-05-18 12:30:00","Control",15,0.733333333333333,1,146.666666666667
"14","2021-05-18 SS/MAY/SB/001/FF 2021-05-18 12:30:00","Control",15,0.733333333333333,1.33333333333333,146.666666666667
"15","2021-05-18 SS/MAY/SB/013/FF 2021-05-18 12:45:00","Control",16,1.0625,2.5625,200
"16","2021-05-18 SS/MAY/SB/018/FF 2021-05-18 13:03:00","Control",NA,NA,NA,NA
"17","2021-05-18 SS/MAY/SB/021/FF 2021-05-18 13:03:00","Control",NA,NA,NA,NA
"18","2021-05-18 SS/MAY/SB/049/FF 2021-05-18 13:03:00","Control",NA,NA,NA,NA
"19","2021-05-18 SS/MAY/SB/033/FF 2021-05-18 12:35:00","Control",15,1.33333333333333,1.93333333333333,266.666666666667
"20","2021-05-18 SS/MAY/SB/032/FF 2021-05-18 12:30:00","Control",NA,NA,NA,NA
"21","2021-05-18 SS/MAY/SB/011/FF 2021-05-18 23:25:00","Control",15,1.4,0.6,280
"22","2021-05-18 SS/MAY/SB/003/FF 2021-05-18 18:45:00","Control",15,0.7,1.8,140
"23","2021-05-18 SS/MAY/SB/006/FF 2021-05-18 22:50:00","Control",8,1,2.875,200
"24","2021-05-18 SS/MAY/SB/041/FF 2021-05-18 17:30:00","Control",15,0.466666666666667,3.13333333333333,93.3333333333333
"25","2021-05-18 SS/MAY/SB/074/FF 2021-05-18 23:45:00","Control",5,3.2,11.2,640
"26","2021-05-18 SS/MAY/SB/030/FF 2021-05-18 12:45:00","Control",16,0.5625,1.0625,112.5
"27","2021-05-18 SS/MAY/SB/013/FF 2021-05-18 17:37:00","Control",16,0.5625,2.5625,112.5
"28","2021-05-18 SS/MAY/SB/077/FF 2021-05-18 12:45:00","Control",10,0.9,2.4,180
"29","2021-05-18 SS/MAY/SB/018/FF 2021-05-18 17:30:00","Control",NA,NA,NA,NA
"30","2021-05-18 SS/MAY/SB/010/FF 2021-05-18 15:50:00","Control",NA,NA,NA,NA
"31","2021-05-18 SS/MAY/SB/074/FF 2021-05-18 16:04:00","Control",NA,NA,NA,NA
"32","2021-05-18 SS/MAY/SB/043/FF 2021-05-18 12:03:00","Control",6,1.66666666666667,7.33333333333333,333.333333333333
"33","2021-05-18 SS/MAY/SB/042/FF 2021-05-18 23:53:00","Control",12,2.25,4.91666666666667,NA
"34","2021-05-18 SS/MAY/SB/083/FF 2021-05-18 01:43:00","Control",15,0.733333333333333,1.13333333333333,146.666666666667
"35","2021-05-18 SS/MAY/SB/052/FF 2021-05-18 03:01:00","Control",NA,NA,NA,NA
"36","2021-05-18 SS/MAY/SB/028/FF 2021-05-18 03:01:00","Control",NA,NA,NA,NA
"37","2021-05-18 SS/MAY/SB/082/FF 2021-05-18 11:57:00","Control",9,1.33333333333333,2.44444444444444,266.666666666667
"38","2021-05-18 SS/MAY/SB/047/FF 2021-05-18 12:06:00","Control",7,1.71428571428571,4.14285714285714,342.857142857143
"39","2021-05-18 SS/MAY/SB/046/FF 2021-05-18 12:06:00","Control",NA,NA,NA,NA
"40","2021-05-18 SS/MAY/SB/048/FF 2021-05-18 12:06:00","Control",NA,NA,NA,NA
"41","2021-05-18 SS/MAY/SB/044/FF 2021-05-18 12:06:00","Control",NA,NA,NA,NA
"42","2021-05-18 SS/MAY/SB/036/FF 2021-05-18 12:07:00","Control",10,0.9,2.8,180
"43","2021-05-18 SS/MAY/SB/041/FF 2021-05-18 17:15:00","Control",15,1.33333333333333,3.13333333333333,266.666666666667
"44","2021-05-19 SS/UYO/SB/089/FF 2021-05-19 14:00:00","Control",8,0.625,3.625,125
"45","2021-05-19 SS/UYO/SB/090/FF 2021-05-19 15:00:00","Control",6,0.916666666666667,7.33333333333333,183.333333333333
"46","2021-05-19 SS/UYO/SB/091/FF 2021-05-19 15:15:00","Control",9,1.16666666666667,NA,233.333333333333
"47","2021-05-19 SS/UYO/SB/095/FF 2021-05-19 14:00:00","Control",7,0.657142857142857,4.14285714285714,131.428571428571
"48","2021-05-19 SS/UYO/SB/096/FF 2021-05-19 15:00:00","Control",12,0.666666666666667,NA,133.333333333333
"49","2021-05-19 SS/UYO/SB/099/FF 2021-05-19 14:00:00","Control",6,0.916666666666667,7.33333333333333,183.333333333333
"50","2021-05-19 SS/UYO/SB/100/FF 2021-05-19 15:00:00","Control",7,0.271428571428571,1.85714285714286,54.2857142857143
"51","2021-05-19 SS/MAY/SB/033/FF 2021-05-19 12:50:00","Control",15,1.4,0.8,280
"52","2021-05-19 SS/MAY/SB/003/FF 2021-05-19 23:25:00","Control",15,1.4,0.933333333333333,280
"53","2021-05-19 SS/MAY/SB/011/FF 2021-05-19 23:25:00","Control",15,1.4,0.933333333333333,280
"54","2021-05-19 SS/MAY/SB/049/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"55","2021-05-19 SS/MAY/SB/018/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"56","2021-05-19 SS/MAY/SB/021/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"57","2021-05-19 SS/MAY/SB/032/FF 2021-05-19 12:25:00","Control",NA,NA,NA,NA
"58","2021-05-19 SS/MAY/SB/034/FF 2021-05-19 12:35:00","Control",9,1.66666666666667,1.66666666666667,333.333333333333
"59","2021-05-19 SS/MAY/SB/028/FF 2021-05-19 13:35:00","Control",9,4.66666666666667,1.33333333333333,NA
"60","2021-05-19 SS/MAY/SB/006/FF 2021-05-19 12:25:00","Control",8,1.25,2.25,250
"61","2021-05-19 SS/MAY/SB/038/FF 2021-05-19 12:25:00","Control",8,1.25,2.375,250
"62","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 12:30:00","Control",16,1.125,5.8125,225
"63","2021-05-19 SS/MAY/SB/002/FF 2021-05-19 12:25:00","Control",15,1.4,1.4,280
"64","2021-05-19 SS/MAY/SB/001/FF 2021-05-19 12:25:00","Control",15,1.4,1.2,280
"65","2021-05-19 SS/MAY/SB/010/FF 2021-05-19 14:15:00","Control",NA,NA,NA,NA
"66","2021-05-19 SS/MAY/SB/043/FF 2021-05-19 12:57:00","Control",6,1.33333333333333,2.33333333333333,266.666666666667
"67","2021-05-19 SS/MAY/SB/042/FF 2021-05-19 11:43:00","Control",12,0.833333333333333,1.08333333333333,166.666666666667
"68","2021-05-19 SS/MAY/SB/058/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"69","2021-05-19 SS/MAY/SB/017/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"70","2021-05-19 SS/MAY/SB/082/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"71","2021-05-19 SS/MAY/SB/083/FF 2021-05-19 13:15:00","Control",7,1.42857142857143,2.42857142857143,285.714285714286
"72","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"73","2021-05-19 SS/MAY/SB/077/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"74","2021-05-19 SS/MAY/SB/013/FF 2021-05-19 17:37:00","Control",NA,NA,NA,NA
"75","2021-05-19 SS/MAY/SB/081/FF 2021-05-19 13:15:00","Control",10,1,1.7,200
"76","2021-05-19 SS/MAY/SB/029/FF 2021-05-19 13:15:00","Control",6,1.66666666666667,2.83333333333333,333.333333333333
"77","2021-05-19 SS/MAY/SB/077/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"78","2021-05-19 SS/MAY/SB/030/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"79","2021-05-19 SS/MAY/SB/013/FF 2021-05-19 13:27:00","Control",NA,NA,NA,NA
"80","2021-05-19 SS/MAY/SB/074/FF 2021-05-19 12:47:00","Control",15,0.8,1.46666666666667,160
"81","2021-05-20 SS/UYO/SB/085/FF 2021-05-20 16:30:00","Control",8,0.6875,4.875,137.5
"82","2021-05-20 SS/UYO/SB/089/FF 2021-05-20 16:30:00","Control",8,0.6875,4.875,137.5
"83","2021-05-20 SS/UYO/SB/091/FF 2021-05-20 16:30:00","Control",9,0.488888888888889,3.22222222222222,97.7777777777778
"84","2021-05-20 SS/UYO/SB/100/FF 2021-05-20 08:00:00","Control",7,0.428571428571429,NA,85.7142857142857
"85","2021-05-20 SS/MAY/SB/074/FF 2021-05-20 16:33:00","Control",15,0.266666666666667,2.53333333333333,66.6666666666667
"86","2021-05-20 SS/MAY/SB/042/FF 2021-05-20 12:43:00","Control",10,1.5,2.1,300
"87","2021-05-20 SS/MAY/SB/043/FF 2021-05-20 12:43:00","Control",6,2,2.33333333333333,400
"88","2021-05-20 SS/MAY/SB/081/FF 2021-05-20 13:15:00","Control",10,2.2,3.1,440
