"","survey_id","trap_type","HOME"
"1","2021-05-18 11:57:00 SS/MAY/SB/082/FF","Control",3.85086603467483
"2","2021-05-18 12:03:00 SS/MAY/SB/043/FF","Control",NA
"3","2021-05-18 12:06:00 SS/MAY/SB/047/FF","Control",NA
"4","2021-05-18 12:07:00 SS/MAY/SB/036/FF","Control",1.82069471284878
"5","2021-05-18 12:30:00 SS/MAY/SB/002/FF","Control",NA
"6","2021-05-18 12:35:00 SS/MAY/SB/033/FF","Control",NA
"7","2021-05-18 12:45:00 SS/MAY/SB/013/FF","Control",2.73104206927316
"8","2021-05-18 12:45:00 SS/MAY/SB/030/FF","Control",NA
"9","2021-05-18 12:45:00 SS/MAY/SB/077/FF","Control",2.73104206927316
"10","2021-05-18 13:00:00 SS/UYO/SB/094/FF","Control",2.94886618573939
"11","2021-05-18 13:00:00 SS/UYO/SB/095/FF","Control",NA
"12","2021-05-18 14:00:00 SS/UYO/SB/085/FF","Control",0.347811541011889
"13","2021-05-18 14:00:00 SS/UYO/SB/090/FF","Control",1.34683362436834
"14","2021-05-18 14:00:00 SS/UYO/SB/091/FF","Control",7.71240070839718
"15","2021-05-18 14:00:00 SS/UYO/SB/092/FF","Control",0.420885507615105
"16","2021-05-18 14:00:00 SS/UYO/SB/100/FF","Control",2.40719262684866
"17","2021-05-18 15:00:00 SS/UYO/SB/088/FF","Control",NA
"18","2021-05-18 17:15:00 SS/MAY/SB/041/FF","Control",1.71550176396343
"19","2021-05-18 17:30:00 SS/MAY/SB/041/FF","Control",1.71550176396343
"20","2021-05-18 18:45:00 SS/MAY/SB/003/FF","Control",3.64138942569755
"21","2021-05-18 22:50:00 SS/MAY/SB/006/FF","Control",NA
"22","2021-05-18 23:25:00 SS/MAY/SB/011/FF","Control",NA
"23","2021-05-18 23:45:00 SS/MAY/SB/074/FF","Control",NA
"24","2021-05-19 11:43:00 SS/MAY/SB/042/FF","Control",NA
"25","2021-05-19 12:25:00 SS/MAY/SB/002/FF","Control",0.982016965025903
"26","2021-05-19 12:25:00 SS/MAY/SB/006/FF","Control",1.71550176396343
"27","2021-05-19 12:30:00 SS/MAY/SB/030/FF","Control",9.57531287936765
"28","2021-05-19 12:35:00 SS/MAY/SB/034/FF","Control",1.82069471284878
"29","2021-05-19 12:47:00 SS/MAY/SB/074/FF","Control",NA
"30","2021-05-19 12:50:00 SS/MAY/SB/033/FF","Control",NA
"31","2021-05-19 12:57:00 SS/MAY/SB/043/FF","Control",NA
"32","2021-05-19 13:15:00 SS/MAY/SB/029/FF","Control",NA
"33","2021-05-19 13:15:00 SS/MAY/SB/058/FF","Control",NA
"34","2021-05-19 13:15:00 SS/MAY/SB/081/FF","Control",NA
"35","2021-05-19 14:00:00 SS/UYO/SB/089/FF","Control",1.98432902791147
"36","2021-05-19 14:00:00 SS/UYO/SB/095/FF","Control",0.741920980033374
"37","2021-05-19 14:30:00 SS/UYO/SB/094/FF","Control",2.94886618573939
"38","2021-05-19 15:00:00 SS/UYO/SB/090/FF","Control",1.66093068604565
"39","2021-05-19 15:00:00 SS/UYO/SB/096/FF","Control",1.01012521827625
"40","2021-05-19 15:00:00 SS/UYO/SB/100/FF","Control",NA
"41","2021-05-19 15:15:00 SS/UYO/SB/091/FF","Control",2.73859013864164
"42","2021-05-20 12:20:00 SS/MAY/SB/028/FF","Control",1.11793112599717
"43","2021-05-20 12:25:00 SS/MAY/SB/034/FF","Control",1.11793112599717
"44","2021-05-20 12:30:00 SS/MAY/SB/006/FF","Control",1.77201689283449
"45","2021-05-20 12:30:00 SS/MAY/SB/034/FF","Control",1.11793112599717
"46","2021-05-20 12:30:00 SS/MAY/SB/038/FF","Control",NA
"47","2021-05-20 12:42:00 SS/MAY/SB/002/FF","Control",1.77201689283449
"48","2021-05-20 12:43:00 SS/MAY/SB/042/FF","Control",2.71412758888577
"49","2021-05-20 12:43:00 SS/MAY/SB/043/FF","Control",2.42906800293166
"50","2021-05-20 12:45:00 SS/MAY/SB/014/FF","Control",1.77201689283449
"51","2021-05-20 12:45:00 SS/MAY/SB/053/FF","Control",0.655219233974829
"52","2021-05-20 13:15:00 SS/MAY/SB/015/FF","Control",0.982828850962244
"53","2021-05-20 13:15:00 SS/MAY/SB/029/FF","Control",NA
"54","2021-05-20 13:15:00 SS/MAY/SB/058/FF","Control",NA
"55","2021-05-20 13:15:00 SS/MAY/SB/081/FF","Control",NA
"56","2021-05-20 14:07:00 SS/MAY/SB/014/FF","Control",1.77201689283449
"57","2021-05-20 14:07:00 SS/MAY/SB/036/FF","Control",1.43143315880913
"58","2021-05-20 16:30:00 SS/UYO/SB/085/FF","Control",2.49139602906847
"59","2021-05-20 16:30:00 SS/UYO/SB/091/FF","Control",5.78430053129788
"60","2021-05-20 16:33:00 SS/MAY/SB/074/FF","Control",1.94663635008263
"61","2021-05-20 16:45:00 SS/MAY/SB/030/FF","Control",2.65914305734665
"62","2021-05-20 23:15:00 SS/MAY/SB/028/FF","Control",1.11793112599717
"63","2021-05-20 23:25:00 SS/MAY/SB/077/FF","Control",1.87960194029899
"64","2021-05-21 08:00:00 SS/UYO/SB/090/FF","Control",2.64577203721529
"65","2021-05-21 10:30:00 SS/UYO/SB/088/FF","Control",NA
"66","2021-05-21 10:30:00 SS/UYO/SB/095/FF","Control",1.11288147005006
"67","2021-05-21 10:30:00 SS/UYO/SB/100/FF","Control",NA
"68","2021-05-22 08:30:00 SS/UYO/SB/095/FF","Control",NA
"69","2021-05-22 09:00:00 SS/UYO/SB/089/FF","Control",0.54134014931619
"70","2021-05-22 09:00:00 SS/UYO/SB/090/FF","Control",NA
"71","2021-05-22 09:00:00 SS/UYO/SB/091/FF","Control",2.05394260398123
"72","2021-05-22 09:00:00 SS/UYO/SB/092/FF","Control",0.927401225041718
"73","2021-05-22 09:00:00 SS/UYO/SB/094/FF","Control",0.138634483940549
"74","2021-05-22 11:00:00 SS/MAY/SB/034/FF","Control",NA
"75","2021-05-22 11:00:00 SS/UYO/SB/100/FF","Control",NA
"76","2021-05-22 11:25:00 SS/MAY/SB/082/FF","Control",NA
"77","2021-05-22 12:45:00 SS/MAY/SB/013/FF","Control",1.43143315880913
"78","2021-05-22 12:45:00 SS/MAY/SB/077/FF","Control",NA
"79","2021-05-23 01:00:00 SS/UYO/SB/100/FF","Control",NA
"80","2021-05-23 07:30:00 SS/UYO/SB/095/FF","Control",3.00899078356083
"81","2021-05-23 09:00:00 SS/UYO/SB/096/FF","Control",NA
"82","2021-05-23 10:15:00 SS/UYO/SB/092/FF","Control",0.558965562998585
"83","2021-05-23 12:15:00 SS/MAY/SB/001/FF","Control",NA
"84","2021-05-23 12:15:00 SS/MAY/SB/002/FF","Control",1.24796692530985
"85","2021-05-23 12:15:00 SS/MAY/SB/015/FF","Control",NA
"86","2021-05-23 12:15:00 SS/MAY/SB/034/FF","Control",NA
"87","2021-05-23 12:15:00 SS/MAY/SB/045/FF","Control",NA
"88","2021-05-23 12:25:00 SS/MAY/SB/082/FF","Control",NA
"89","2021-05-23 12:25:00 SS/MAY/SB/083/FF","Control",2.73104206927316
"90","2021-05-23 12:35:00 SS/MAY/SB/033/FF","Control",1.11773989839922
"91","2021-05-23 13:30:00 SS/MAY/SB/074/FF","Control",NA
"92","2021-05-24 08:00:00 SS/UYO/SB/095/FF","Control",NA
"93","2021-05-24 09:30:00 SS/UYO/SB/085/FF","Control",0.68464753466041
"94","2021-05-24 09:30:00 SS/UYO/SB/089/FF","Control",0.68464753466041
"95","2021-05-24 09:30:00 SS/UYO/SB/091/FF","Control",3.610788940273
"96","2021-05-24 09:30:00 SS/UYO/SB/100/FF","Control",NA
"97","2021-05-24 10:00:00 SS/UYO/SB/099/FF","Control",NA
"98","2021-05-24 11:45:00 SS/MAY/SB/074/FF","Control",NA
"99","2021-05-24 12:15:00 SS/MAY/SB/002/FF","Control",NA
"100","2021-05-24 12:15:00 SS/MAY/SB/015/FF","Control",NA
"101","2021-05-24 12:50:00 SS/MAY/SB/013/FF","Control",NA
"102","2021-05-24 12:50:00 SS/MAY/SB/077/FF","Control",NA
"103","2021-05-25 08:30:00 SS/UYO/SB/095/FF","Control",NA
"104","2021-05-25 09:00:00 SS/UYO/SB/088/FF","Control",NA
"105","2021-05-25 10:00:00 SS/UYO/SB/086/FF","Control",NA
"106","2021-05-25 10:00:00 SS/UYO/SB/094/FF","Control",NA
