scientific_name
Siganus sutor
Acanthurus triostegus
Scarus rubroviolaceus
Cephalopholis argus
Lethrinus nebulosus
Acanthurus xanthopterus
Mulloidichthys flavolineatus
Plectorhinchus sordidus
Plectorhinchus vittatus
Acanthurus dussumieri
Siganus canaliculatus
Lethrinus conchyliatus
Lethrinus harak
Parupeneus macronemus
Scarus ghobban
Plectorhinchus gaterinus
Leptoscarus vaigiensis
Parupeneus heptacanthus
Lutjanus fulviflamma
Monotaxis grandoculis
Naso brachycentron
Hipposcarus harid
Naso annulatus
Trichiurus lepturus
Gerres oyena
Sardinella melanura
